FinancialYear;PresentationType;StateOrTerritory;GeographicAreaType;GeographicAreaCode;GeographicAreaName;Measure;Value
2014–15;Mental health-related presentations;New South Wales;PHN;PHN101;Central and Eastern Sydney;Number;14581
2014–15;Mental health-related presentations;New South Wales;PHN;PHN101;Central and Eastern Sydney;Rate (per 10,000 population);97
2014–15;Mental health-related presentations;New South Wales;PHN;PHN102;Northern Sydney;Number;5933
2014–15;Mental health-related presentations;New South Wales;PHN;PHN102;Northern Sydney;Rate (per 10,000 population);67
2014–15;Mental health-related presentations;New South Wales;PHN;PHN103;Western Sydney;Number;6264
2014–15;Mental health-related presentations;New South Wales;PHN;PHN103;Western Sydney;Rate (per 10,000 population);69
2014–15;Mental health-related presentations;New South Wales;PHN;PHN104;Nepean Blue Mountains;Number;4564
2014–15;Mental health-related presentations;New South Wales;PHN;PHN104;Nepean Blue Mountains;Rate (per 10,000 population);127
2014–15;Mental health-related presentations;New South Wales;PHN;PHN105;South Western Sydney;Number;9059
2014–15;Mental health-related presentations;New South Wales;PHN;PHN105;South Western Sydney;Rate (per 10,000 population);98
2014–15;Mental health-related presentations;New South Wales;PHN;PHN106;South Eastern NSW;Number;8346
2014–15;Mental health-related presentations;New South Wales;PHN;PHN106;South Eastern NSW;Rate (per 10,000 population);140
2014–15;Mental health-related presentations;New South Wales;PHN;PHN107;Western NSW;Number;7901
2014–15;Mental health-related presentations;New South Wales;PHN;PHN107;Western NSW;Rate (per 10,000 population);259
2014–15;Mental health-related presentations;New South Wales;PHN;PHN108;Hunter New England and Central Coast;Number;15332
2014–15;Mental health-related presentations;New South Wales;PHN;PHN108;Hunter New England and Central Coast;Rate (per 10,000 population);125
2014–15;Mental health-related presentations;New South Wales;PHN;PHN109;North Coast;Number;7749
2014–15;Mental health-related presentations;New South Wales;PHN;PHN109;North Coast;Rate (per 10,000 population);153
2014–15;Mental health-related presentations;New South Wales;PHN;PHN110;Murrumbidgee;Number;5207
2014–15;Mental health-related presentations;New South Wales;PHN;PHN110;Murrumbidgee;Rate (per 10,000 population);217
2014–15;Mental health-related presentations;Victoria;PHN;PHN201;North Western Melbourne;Number;11881
2014–15;Mental health-related presentations;Victoria;PHN;PHN201;North Western Melbourne;Rate (per 10,000 population);75
2014–15;Mental health-related presentations;Victoria;PHN;PHN202;Eastern Melbourne;Number;9501
2014–15;Mental health-related presentations;Victoria;PHN;PHN202;Eastern Melbourne;Rate (per 10,000 population);66
2014–15;Mental health-related presentations;Victoria;PHN;PHN203;South Eastern Melbourne;Number;12584
2014–15;Mental health-related presentations;Victoria;PHN;PHN203;South Eastern Melbourne;Rate (per 10,000 population);88
2014–15;Mental health-related presentations;Victoria;PHN;PHN204;Gippsland;Number;3213
2014–15;Mental health-related presentations;Victoria;PHN;PHN204;Gippsland;Rate (per 10,000 population);120
2014–15;Mental health-related presentations;Victoria;PHN;PHN205;Murray;Number;5907
2014–15;Mental health-related presentations;Victoria;PHN;PHN205;Murray;Rate (per 10,000 population);100
2014–15;Mental health-related presentations;Victoria;PHN;PHN206;Western Victoria;Number;4150
2014–15;Mental health-related presentations;Victoria;PHN;PHN206;Western Victoria;Rate (per 10,000 population);68
2014–15;Mental health-related presentations;Queensland;PHN;PHN301;Brisbane North;Number;11542
2014–15;Mental health-related presentations;Queensland;PHN;PHN301;Brisbane North;Rate (per 10,000 population);122
2014–15;Mental health-related presentations;Queensland;PHN;PHN302;Brisbane South;Number;12747
2014–15;Mental health-related presentations;Queensland;PHN;PHN302;Brisbane South;Rate (per 10,000 population);117
2014–15;Mental health-related presentations;Queensland;PHN;PHN303;Gold Coast;Number;5913
2014–15;Mental health-related presentations;Queensland;PHN;PHN303;Gold Coast;Rate (per 10,000 population);105
2014–15;Mental health-related presentations;Queensland;PHN;PHN304;Darling Downs and West Moreton;Number;5509
2014–15;Mental health-related presentations;Queensland;PHN;PHN304;Darling Downs and West Moreton;Rate (per 10,000 population);102
2014–15;Mental health-related presentations;Queensland;PHN;PHN305;Western Queensland;Number;755
2014–15;Mental health-related presentations;Queensland;PHN;PHN305;Western Queensland;Rate (per 10,000 population);111
2014–15;Mental health-related presentations;Queensland;PHN;PHN306;Central Queensland, Wide Bay, Sunshine Coast;Number;8465
2014–15;Mental health-related presentations;Queensland;PHN;PHN306;Central Queensland, Wide Bay, Sunshine Coast;Rate (per 10,000 population);103
2014–15;Mental health-related presentations;Queensland;PHN;PHN307;Northern Queensland;Number;7761
2014–15;Mental health-related presentations;Queensland;PHN;PHN307;Northern Queensland;Rate (per 10,000 population);113
2014–15;Mental health-related presentations;Western Australia;PHN;PHN501;Perth North;Number;11504
2014–15;Mental health-related presentations;Western Australia;PHN;PHN501;Perth North;Rate (per 10,000 population);111
2014–15;Mental health-related presentations;Western Australia;PHN;PHN502;Perth South;Number;9764
2014–15;Mental health-related presentations;Western Australia;PHN;PHN502;Perth South;Rate (per 10,000 population);103
2014–15;Mental health-related presentations;Western Australia;PHN;PHN503;Country WA;Number;3341
2014–15;Mental health-related presentations;Western Australia;PHN;PHN503;Country WA;Rate (per 10,000 population);62
2014–15;Mental health-related presentations;South Australia;PHN;PHN401;Adelaide;Number;16553
2014–15;Mental health-related presentations;South Australia;PHN;PHN401;Adelaide;Rate (per 10,000 population);138
2014–15;Mental health-related presentations;South Australia;PHN;PHN402;Country SA;Number;4135
2014–15;Mental health-related presentations;South Australia;PHN;PHN402;Country SA;Rate (per 10,000 population);84
2014–15;Mental health-related presentations;Tasmania;PHN;PHN601;Tasmania;Number;5491
2014–15;Mental health-related presentations;Tasmania;PHN;PHN601;Tasmania;Rate (per 10,000 population);107
2014–15;Mental health-related presentations;Australian Capital Territory;PHN;PHN801;Australian Capital Territory;Number;3777
2014–15;Mental health-related presentations;Australian Capital Territory;PHN;PHN801;Australian Capital Territory;Rate (per 10,000 population);97
2014–15;Mental health-related presentations;Northern Territory;PHN;PHN701;Northern Territory;Number;5770
2014–15;Mental health-related presentations;Northern Territory;PHN;PHN701;Northern Territory;Rate (per 10,000 population);238
2014–15;All presentations;New South Wales;PHN;PHN101;Central and Eastern Sydney;Number;400115
2014–15;All presentations;New South Wales;PHN;PHN101;Central and Eastern Sydney;Rate (per 10,000 population);2650
2014–15;All presentations;New South Wales;PHN;PHN102;Northern Sydney;Number;202240
2014–15;All presentations;New South Wales;PHN;PHN102;Northern Sydney;Rate (per 10,000 population);2283
2014–15;All presentations;New South Wales;PHN;PHN103;Western Sydney;Number;225360
2014–15;All presentations;New South Wales;PHN;PHN103;Western Sydney;Rate (per 10,000 population);2494
2014–15;All presentations;New South Wales;PHN;PHN104;Nepean Blue Mountains;Number;117851
2014–15;All presentations;New South Wales;PHN;PHN104;Nepean Blue Mountains;Rate (per 10,000 population);3279
2014–15;All presentations;New South Wales;PHN;PHN105;South Western Sydney;Number;280986
2014–15;All presentations;New South Wales;PHN;PHN105;South Western Sydney;Rate (per 10,000 population);3050
2014–15;All presentations;New South Wales;PHN;PHN106;South Eastern NSW;Number;253233
2014–15;All presentations;New South Wales;PHN;PHN106;South Eastern NSW;Rate (per 10,000 population);4236
2014–15;All presentations;New South Wales;PHN;PHN107;Western NSW;Number;163730
2014–15;All presentations;New South Wales;PHN;PHN107;Western NSW;Rate (per 10,000 population);5367
2014–15;All presentations;New South Wales;PHN;PHN108;Hunter New England and Central Coast;Number;515869
2014–15;All presentations;New South Wales;PHN;PHN108;Hunter New England and Central Coast;Rate (per 10,000 population);4202
2014–15;All presentations;New South Wales;PHN;PHN109;North Coast;Number;275289
2014–15;All presentations;New South Wales;PHN;PHN109;North Coast;Rate (per 10,000 population);5432
2014–15;All presentations;New South Wales;PHN;PHN110;Murrumbidgee;Number;134559
2014–15;All presentations;New South Wales;PHN;PHN110;Murrumbidgee;Rate (per 10,000 population);5600
2014–15;All presentations;Victoria;PHN;PHN201;North Western Melbourne;Number;419902
2014–15;All presentations;Victoria;PHN;PHN201;North Western Melbourne;Rate (per 10,000 population);2643
2014–15;All presentations;Victoria;PHN;PHN202;Eastern Melbourne;Number;334376
2014–15;All presentations;Victoria;PHN;PHN202;Eastern Melbourne;Rate (per 10,000 population);2305
2014–15;All presentations;Victoria;PHN;PHN203;South Eastern Melbourne;Number;356574
2014–15;All presentations;Victoria;PHN;PHN203;South Eastern Melbourne;Rate (per 10,000 population);2482
2014–15;All presentations;Victoria;PHN;PHN204;Gippsland;Number;104308
2014–15;All presentations;Victoria;PHN;PHN204;Gippsland;Rate (per 10,000 population);3884
2014–15;All presentations;Victoria;PHN;PHN205;Murray;Number;219170
2014–15;All presentations;Victoria;PHN;PHN205;Murray;Rate (per 10,000 population);3711
2014–15;All presentations;Victoria;PHN;PHN206;Western Victoria;Number;162801
2014–15;All presentations;Victoria;PHN;PHN206;Western Victoria;Rate (per 10,000 population);2666
2014–15;All presentations;Queensland;PHN;PHN301;Brisbane North;Number;274910
2014–15;All presentations;Queensland;PHN;PHN301;Brisbane North;Rate (per 10,000 population);2907
2014–15;All presentations;Queensland;PHN;PHN302;Brisbane South;Number;312116
2014–15;All presentations;Queensland;PHN;PHN302;Brisbane South;Rate (per 10,000 population);2865
2014–15;All presentations;Queensland;PHN;PHN303;Gold Coast;Number;157404
2014–15;All presentations;Queensland;PHN;PHN303;Gold Coast;Rate (per 10,000 population);2787
2014–15;All presentations;Queensland;PHN;PHN304;Darling Downs and West Moreton;Number;123754
