category,disorder,level,male_pct,female_pct,persons_pct,male_est_000,female_est_000,persons_est_000,source,source_url
Anxiety disorders,Panic Disorder,specific,2.4,5.0,3.7,231,504.1,731.4,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Anxiety disorders,Agoraphobia,specific,2.9,6.1,4.5,279,610.3,894,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Anxiety disorders,Social Phobia,specific,5.2,9.2,7.3,505.5,929,1437.7,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Anxiety disorders,Generalised Anxiety Disorder,specific,2.8,4.8,3.8,272.4,479.8,749.9,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Anxiety disorders,Obsessive-Compulsive Disorder,specific,3.0,4.1,3.6,292.9,411.9,708.5,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Anxiety disorders,Post-Traumatic Stress Disorder,specific,3.7,7.4,5.6,357.6,743,1107.5,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Affective disorders,Depressive Episode,specific,4.1,5.7,4.9,404.2,569.3,968.2,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Affective disorders,Dysthymia,specific,1.5,2.0,1.7,144.9,204.6,343.1,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Affective disorders,Bipolar Affective Disorder,specific,1.8,2.1,2.0,176.7,214.7,391.3,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Substance Use disorders,Alcohol Harmful Use,specific,1.9,1.1,1.5,182.1,109.7,288.7,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Substance Use disorders,Alcohol Dependence,specific,1.4,0.8,1.1,137.7,76.5,220.7,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Substance Use disorders,Drug Abuse,specific,0.7,0.2,0.4,64.3,17.5,86.1,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
Substance Use disorders,Drug Dependence,specific,0.6,0.3,0.5,63.1,26.7,92.9,"ABS National Study of Mental Health and Wellbeing: Summary Results, 2020–2022; Table 2",https://www.abs.gov.au/statistics/health/mental-health/national-study-mental-health-and-wellbeing/latest-release
